date,position,songname,artist,last week,peak position,weeks on chart
2013-06-15,89,Grandpa (Tell Me 'Bout The Good Old Days),Danielle Bradberry,--,89,1
2013-05-11,86,All Gold Everything,Trinidad James,81,36,20
2013-04-06,89,Who Booty,Jonn Hart Featuring IamSU!,85,66,15
2013-02-09,90,Bad Ass,Kid Ink Featuring Meek Mill &amp; Wale,--,90,1
2013-02-02,76,Who Booty,Jonn Hart Featuring iamSU,80,76,6
2013-02-02,82,Wild For The Night,A$AP Rocky Featuring Skrillex &amp; Birdy Nam Nam,--,82,1
2013-01-19,97,On My Own,Samantha Barks,--,97,1
2012-12-29,70,Let It Be,Terry McDermott,--,70,1
2012-12-22,47,Good Time,Owl City &amp; Carly Rae Jepsen,39,8,24
2012-12-22,96,Somewhere Over The Rainbow,Nicholas David,--,96,1
2012-12-08,71,Just A Fool,Christina Aguilera With Blake Shelton,92,71,2
2012-11-24,47,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",41,13,32
2012-11-10,92,Fade Into You,Sam Palladio &amp; Clare Bowen,--,92,1
2012-10-13,100,To The World,"Kanye West, R. Kelly",70,70,2
2012-09-29,12,Clique,Kanye West  Jay-Z  Big Sean,55,12,2
2012-09-08,88,The Fighter,Gym Class Heroes Featuring Ryan Tedder,81,25,15
2012-08-11,89,New God Flow,Pusha T   Kanye West,--,89,1
2012-08-04,87,Midnight City,M83.,80,72,20
